x y
590.5332396520017 1400.975295940222
602.3684043664708 1416.9570280416128
1086.9401336946248 1099.5132271844884
691.7754127232654 1017.8172015455426
811.4078170774656 201.42582292633253
799.3318888674146 201.30535987687972
1097.608452404792 1114.623022886379
779.1972035542699 190.0999614618978
809.4960008300321 201.1074888487236
1487.3383692121197 702.6349501376257
586.5985838459045 1402.2252039770642
290.1264663536251 904.8371427651124
294.2973026923941 896.6111160650239
709.2133426071342 995.3838028104501
608.9545171930897 1408.9407175186648
1498.8247548201552 700.0549996383461
1506.31327790436 695.9000309825095
1083.3532710457866 1103.732175816201
689.6816528731454 991.3402678949752
1501.512837629779 684.5575671781556
285.88231017446236 908.8889879235769
619.6371098524199 1393.4200293121028
600.177308906191 1398.1973223127823
288.32174023818357 892.3728388538805
572.4565287869964 1395.1516120481485
1507.549752705994 694.6900133477404
291.2714286127953 894.8623502705716
704.5146921600912 1001.5163508580058
736.7339308392516 1010.1620843589986
307.24406901483366 904.1361930852869
1098.0749756987086 1099.8458821206648
1507.1625745013491 715.8319367663967
312.6787204721798 893.6511766480822
1503.7865126885006 681.6109838177904
316.4553985117646 879.3718251494847
701.160112387536 995.3265164557814
588.0088670316189 1407.0701724431453
1500.5275922197302 699.6000915140568
810.9827416169804 214.31975215815083
1109.7536729447982 1096.069726501518
1101.9246097691885 1089.2818872100509
1097.8876416834764 1099.2922452307212
803.96714878994 185.16626194393396
704.3574169250822 998.2487112621966
1096.7854179873202 1114.3684902837513
798.5696541415223 205.41925610276428
802.1207484256464 200.5048259176972
602.9153257973461 1389.7505467704295
800.9982179572394 209.40003990505588
691.3768272983399 1000.57529315129
1100.3117865915665 1093.5799679633585
298.25043530877497 898.4048464442658
697.0180091564222 1004.1882763321125
299.3411480535689 885.6414560511416
722.2707870171878 999.5477945669886
1093.1803899350089 1085.3705840227872
1507.8548750506625 704.6839100122407
1516.3634620995633 696.0269033176617
804.2502135080609 196.21371486895404
588.4518766782522 1393.1881411890429
